model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,recall_cancer_mean,precision_cancer_mean,n_pseudo_mean
semi_supervised_dbscan_selective_resnet18_cv,0.9299999999999999,0.04472135954999578,0.9298245614035088,0.04483344315789052,0.9400000000000001,0.9272727272727274,263.8
semi_supervised_kmeans_selective_resnet18_cv,0.95,0.0,0.949874686716792,0.0,0.96,0.9454545454545453,602.4
supervised_resnet18_cv,0.9400000000000001,0.022360679774997876,0.9396977291714134,0.022756368875595942,0.96,0.9303030303030303,0.0
