model,accuracy,precision_macro,recall_macro,f1_macro,f1_cancer,recall_cancer,precision_cancer
supervised_resnet18_finetune,0.92,0.9227053140096618,0.9199999999999999,0.9198717948717949,0.9230769230769231,0.96,0.8888888888888888
semi_supervised_kmeans_selective_resnet18_finetune,0.88,0.8899835796387521,0.88,0.8792270531400965,0.8888888888888888,0.96,0.8275862068965517
semi_supervised_dbscan_selective_resnet18_finetune,0.88,0.8899835796387521,0.88,0.8792270531400965,0.8888888888888888,0.96,0.8275862068965517
