accuracy,f1_macro,f1_cancer,recall_cancer,precision_cancer,fold,mode,k,purity_threshold,min_labeled_per_cluster,pseudo_weight,n_pseudo,pseudo_cancer,pseudo_normal,mapped_clusters
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,0.95,5,0.2,400,309,91,3
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,1.0,2,0.01,538,447,91,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,1.0,2,0.02,538,447,91,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,1.0,2,0.05,538,447,91,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,1.0,2,0.1,538,447,91,4
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,both,10,1.0,2,0.2,538,447,91,4
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,3,0.01,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,3,0.02,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,3,0.05,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,3,0.1,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,3,0.2,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,5,0.01,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,5,0.02,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,5,0.05,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,5,0.1,400,309,91,3
0.9,0.898989898989899,0.9090909090909091,1.0,0.8333333333333334,1,both,10,1.0,5,0.2,400,309,91,3
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.9,2,0.01,583,583,0,7
0.95,0.949874686716792,0.9523809523809523,1.0,0.9090909090909091,1,cancer_only,15,0.9,2,0.02,583,583,0,7
