model,accuracy,precision_macro,recall_macro,f1_macro,f1_cancer,f2_cancer,recall_cancer,precision_cancer
supervised_strong_only_cnn,0.56,0.7659574468085106,0.56,0.45436507936507936,0.6944444444444444,0.8503401360544217,1.0,0.5319148936170213
semi_supervised_kmeans_selective_cnn,0.9,0.9006410256410255,0.9,0.8999599839935974,0.8979591836734694,0.8870967741935484,0.88,0.9166666666666666
semi_supervised_dbscan_selective_cnn,0.72,0.8205128205128205,0.72,0.6961805555555556,0.6111111111111112,0.4954954954954955,0.44,1.0
