model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,recall_cancer_mean,precision_cancer_mean,n_pseudo_mean
semi_supervised_dbscan_selective_cnn_cv,0.71,0.108397416943394,0.6818532154593535,0.1311997138718098,0.9400000000000001,0.6616402714932127,263.8
semi_supervised_kmeans_selective_cnn_cv,0.8099999999999999,0.12942179105544782,0.7976276696013538,0.14756230679070786,0.9199999999999999,0.7858144469909176,602.4
supervised_strong_only_cnn_cv,0.67,0.08366600265340753,0.6209365092123713,0.12283007071964211,1.0,0.6072239422084623,0.0
