model,accuracy,precision_macro,recall_macro,f1_macro,f1_cancer
Supervisé - labels forts uniquement,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
Semi-supervisé - labels forts + pseudo-labels KMeans,0.8666666666666667,0.8947368421052632,0.8666666666666667,0.8642533936651584,0.8461538461538461
