model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,f2_cancer_mean,f2_cancer_std,recall_cancer_mean,precision_cancer_mean,n_pseudo_mean
semi_supervised_dbscan_selective_cnn_cv,0.76,0.07416198487095661,0.7418193989246621,0.0922515951171311,0.9007307335480711,0.02041048608001898,0.9800000000000001,0.6908072319837026,132.6
semi_supervised_kmeans_selective_cnn_cv,0.76,0.151657508881031,0.7257921612802996,0.19926835868186146,0.8889552791476613,0.052158031697677305,0.96,0.730602524410574,577.6
supervised_strong_only_cnn_cv,0.67,0.08366600265340753,0.6209365092123713,0.12283007071964211,0.8840050820425486,0.025918735021050063,1.0,0.6072239422084623,0.0
