model,accuracy,precision_macro,recall_macro,f1_macro,f1_cancer
Supervisé - labels forts uniquement,0.9,0.9058441558441559,0.8999999999999999,0.8996386993175431,0.9056603773584906
Semi-supervisé pondéré - labels forts + pseudo-labels,0.88,0.8899835796387521,0.88,0.8792270531400965,0.8695652173913043
